COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
6,D1,1529,00-10,85
6,D1,1529,10-18,217
6,D1,1529,18-00,80
6,D1,1530,10-18,20
6,D1,1530,18-00,2
6,D1,2642,10-18,1
6,D1,7735,00-10,9
6,D1,7735,10-18,20
6,D1,7735,18-00,2
17,D1,1529,00-10,14
17,D1,1529,10-18,56
17,D1,1529,18-00,29
56,D1,1529,10-18,2
56,D1,1530,00-10,4
56,D1,1530,10-18,13
56,D1,1530,18-00,5
56,D1,2642,10-18,7
56,D1,2642,18-00,1
56,D1,7735,10-18,1
56,D1,7735,18-00,1
77,110,540,18-00,1
89,D1,1529,10-18,4
89,D1,1529,18-00,1
114,D1,1529,00-10,6
114,D1,1529,10-18,7
114,D1,1529,18-00,4
114,D1,1530,00-10,237
114,D1,1530,10-18,327
114,D1,1530,18-00,61
114,D1,2642,00-10,5
114,D1,2642,10-18,29
114,D1,2642,18-00,17
118,D1,1529,00-10,145
118,D1,1529,10-18,84
118,D1,1529,18-00,31
118,D1,7735,00-10,15
118,D1,7735,10-18,3
118,D1,7735,18-00,1
138,D1,1529,00-10,5
138,D1,1529,10-18,15
138,D1,1529,18-00,6
138,D1,1530,00-10,205
138,D1,1530,10-18,163
138,D1,1530,18-00,21
138,D1,2642,00-10,7
138,D1,2642,10-18,6
138,D1,2642,18-00,11
138,D1,7735,00-10,1
138,D1,7735,10-18,2
138,D1,7735,18-00,1
147,102,272,18-00,1
147,102,276,18-00,1
151,175,1252,10-18,1
303,D1,1529,00-10,25
303,D1,1529,10-18,10
303,D1,1529,18-00,2
303,D1,1530,00-10,229
303,D1,1530,10-18,165
303,D1,1530,18-00,6
303,D1,2642,00-10,13
303,D1,7735,00-10,1
303,D1,7735,10-18,4
303,D1,7735,18-00,1
531,D1,1529,00-10,8
531,D1,1529,10-18,106
531,D1,1529,18-00,28
531,D1,1530,00-10,18
531,D1,1530,10-18,38
531,D1,1530,18-00,6
531,D1,2642,00-10,1
531,D1,2642,10-18,4
531,D1,7735,10-18,8
546,144,883,00-10,83
546,144,883,10-18,248
546,144,883,18-00,122
547,144,883,00-10,122
547,144,883,10-18,277
547,144,883,18-00,119
548,144,888,00-10,663
548,144,888,10-18,1037
548,144,888,18-00,237
548,144,889,10-18,13
548,144,889,18-00,12
548,144,890,18-00,4
548,144,891,18-00,4
548,144,892,10-18,1
549,144,883,00-10,208
549,144,883,10-18,559
549,144,883,18-00,264
549,144,7683,18-00,1
550,144,888,00-10,1492
550,144,888,10-18,1997
550,144,888,18-00,666
550,144,889,10-18,9
550,144,889,18-00,16
550,144,890,18-00,22
550,144,891,18-00,8
550,144,892,18-00,2
550,144,3226,18-00,3
551,144,888,00-10,200
551,144,888,10-18,300
551,144,888,18-00,150
551,144,889,18-00,5
551,144,890,18-00,9
551,144,891,18-00,1
551,174,7719,00-10,58
551,174,7719,10-18,102
551,174,7719,18-00,37
551,174,7721,00-10,7
551,174,7721,10-18,21
551,174,7721,18-00,7
551,174,7753,10-18,1
551,174,7753,18-00,1
551,174,7755,10-18,4
551,174,7756,18-00,2
551,174,7759,10-18,1
