COD_UBIC_P,DESC_LINEA,COD_VARIAN,X,Y,DESC_VARIA,tipo_dia,cod_variante,frecuencia,cod_ubic_parada,hora,dia_anterior
5281,100,242,580711.676452724,6146077.91828279,A,2,242,4580,5281,458,N
5281,100,242,580711.676452724,6146077.91828279,A,1,242,4580,5281,458,N
2017,100,242,581017.667407003,6146319.59295744,A,2,242,4580,2017,459,N
2017,100,242,581017.667407003,6146319.59295744,A,1,242,4580,2017,459,N
2018,100,242,581257.964064552,6146449.54931305,A,2,242,4580,2018,500,N
2018,100,242,581257.964064552,6146449.54931305,A,1,242,4580,2018,500,N
6115,100,242,581489.212106624,6146585.99532086,A,2,242,4580,6115,500,N
2019,100,242,581724.11017,6146733.68265,A,2,242,4580,2019,501,N
2020,100,242,581973.47201,6146879.38195,A,2,242,4580,2020,501,N
6115,100,242,581489.212106624,6146585.99532086,A,1,242,4580,6115,501,N
2019,100,242,581724.11017,6146733.68265,A,1,242,4580,2019,502,N
2020,100,242,581973.47201,6146879.38195,A,1,242,4580,2020,502,N
4718,100,242,582406.893554386,6147135.17019274,A,2,242,4580,4718,502,N
2021,100,242,582626.541055564,6147261.55439455,A,2,242,4580,2021,503,N
2022,100,242,582526.46461,6146943.53612,A,2,242,4580,2022,504,N
4718,100,242,582406.893554386,6147135.17019274,A,1,242,4580,4718,504,N
2021,100,242,582626.541055564,6147261.55439455,A,1,242,4580,2021,505,N
2023,100,242,582343.86482238,6146541.8985484,A,2,242,4580,2023,505,N
6440,100,242,582145.629295689,6146366.16179723,A,2,242,4580,6440,505,N
2014,100,242,581961.660932848,6146469.61063482,A,2,242,4580,2014,506,N
2022,100,242,582526.46461,6146943.53612,A,1,242,4580,2022,506,N
2023,100,242,582343.86482238,6146541.8985484,A,1,242,4580,2023,507,N
5632,100,242,581563.8543104,6146278.79621376,A,2,242,4580,5632,507,N
2015,100,242,581268.358661555,6146109.76230728,A,2,242,4580,2015,508,N
6440,100,242,582145.629295689,6146366.16179723,A,1,242,4580,6440,508,N
2014,100,242,581961.660932848,6146469.61063482,A,1,242,4580,2014,509,N
2016,100,242,581046.36177,6145987.99836,A,2,242,4580,2016,509,N
4845,100,242,580850.785333816,6145883.8604704,A,2,242,4580,4845,509,N
2024,100,242,580697.877692779,6145800.98478455,A,2,242,4580,2024,510,N
5632,100,242,581563.8543104,6146278.79621376,A,1,242,4580,5632,510,N
2015,100,242,581268.358661555,6146109.76230728,A,1,242,4580,2015,511,N
2612,100,242,580797.855420002,6145419.18374013,A,2,242,4580,2612,511,N
2016,100,242,581046.36177,6145987.99836,A,1,242,4580,2016,512,N
4845,100,242,580850.785333816,6145883.8604704,A,1,242,4580,4845,512,N
4846,100,242,580649.570982084,6145123.64694879,A,2,242,4580,4846,512,N
5280,100,242,580844.227888864,6145270.97108115,A,2,242,4580,5280,512,N
2024,100,242,580697.877692779,6145800.98478455,A,1,242,4580,2024,513,N
5279,100,242,580413.3267456,6144965.0885632,A,2,242,4580,5279,513,N
2612,100,242,580797.855420002,6145419.18374013,A,1,242,4580,2612,514,N
4849,100,242,580231.16869525,6144968.48691755,A,2,242,4580,4849,514,N
2607,100,242,580149.12942,6145388.74606,A,2,242,4580,2607,515,N
4846,100,242,580649.570982084,6145123.64694879,A,1,242,4580,4846,515,N
5280,100,242,580844.227888864,6145270.97108115,A,1,242,4580,5280,515,N
2025,100,242,579804.135052694,6145363.44615793,A,2,242,4580,2025,516,N
5279,100,242,580413.3267456,6144965.0885632,A,1,242,4580,5279,516,N
3761,100,242,579638.93955,6145092.08466,A,2,242,4580,3761,517,N
4849,100,242,580231.16869525,6144968.48691755,A,1,242,4580,4849,517,N
2607,100,242,580149.12942,6145388.74606,A,1,242,4580,2607,518,N
3762,100,242,579538.7235,6144899.13181,A,2,242,4580,3762,518,N
3763,100,242,579645.82705,6144805.63308,A,2,242,4580,3763,518,N
2025,100,242,579804.135052694,6145363.44615793,A,1,242,4580,2025,519,N
3764,100,242,579854.60834,6144690.89841,A,2,242,4580,3764,519,N
3765,100,242,580015.425086209,6144599.70445077,A,2,242,4580,3765,519,N
3761,100,242,579638.93955,6145092.08466,A,1,242,4580,3761,520,N
4593,100,242,580229.12932,6144327.06664,A,2,242,4580,4593,520,N
2537,100,242,580142.555256061,6144239.66268271,A,2,242,4580,2537,521,N
3762,100,242,579538.7235,6144899.13181,A,1,242,4580,3762,521,N
3763,100,242,579645.82705,6144805.63308,A,1,242,4580,3763,521,N
2538,100,242,579995.241515,6143998.290968,A,2,242,4580,2538,522,N
3764,100,242,579854.60834,6144690.89841,A,1,242,4580,3764,522,N
3765,100,242,580015.425086209,6144599.70445077,A,1,242,4580,3765,522,N
2540,100,242,579923.6046,6143730.76331,A,2,242,4580,2540,523,N
2541,100,242,579863.48591,6143532.51992,A,2,242,4580,2541,523,N
4593,100,242,580229.12932,6144327.06664,A,1,242,4580,4593,523,N
2537,100,242,580142.555256061,6144239.66268271,A,1,242,4580,2537,524,N
2542,100,242,579787.642250709,6143314.65880723,A,2,242,4580,2542,524,N
2538,100,242,579995.241515,6143998.290968,A,1,242,4580,2538,525,N
2543,100,242,579667.37228,6143111.17474,A,2,242,4580,2543,525,N
2540,100,242,579923.6046,6143730.76331,A,1,242,4580,2540,526,N
2541,100,242,579863.48591,6143532.51992,A,1,242,4580,2541,526,N
2544,100,242,579560.42067,6142944.56289,A,2,242,4580,2544,526,N
2542,100,242,579787.642250709,6143314.65880723,A,1,242,4580,2542,527,N
